Opent,Open,High,Low,Close,Volume,Close time,Volume pair,TradeNr,useless,useless2,nothing
1682831520000,29230.49000000,29239.11000000,29227.36000000,29239.10000000,28.79348000,1682831699999,841672.17955100,1051,15.72645000,459692.62049660,0
1682831700000,29239.10000000,29239.11000000,29230.50000000,29230.50000000,13.16832000,1682831879999,384947.80222930,630,5.72346000,167309.43479460,0
1682831880000,29230.51000000,29230.51000000,29218.12000000,29218.12000000,20.89204000,1682832059999,610621.21309150,697,4.62625000,135224.30618220,0
1682832060000,29218.13000000,29235.78000000,29218.12000000,29235.78000000,22.55249000,1682832239999,659113.50801220,741,16.71983000,488651.18455130,0
1682832240000,29235.78000000,29250.00000000,29235.77000000,29248.02000000,41.34195000,1682832419999,1209016.51078040,1169,27.09520000,792368.92121170,0
1682832420000,29248.02000000,29250.00000000,29237.11000000,29237.11000000,37.50293000,1682832599999,1096733.03178280,863,18.22493000,532941.97834430,0
1682832600000,29237.12000000,29247.35000000,29237.11000000,29247.35000000,22.71234000,1682832779999,664160.99147500,923,16.43532000,480596.92904100,0
1682832780000,29247.35000000,29247.35000000,29223.93000000,29227.27000000,35.51799000,1682832959999,1038353.17087730,882,10.77009000,314818.60809440,0
1682832960000,29227.28000000,29227.28000000,29220.00000000,29220.00000000,11.08945000,1682833139999,324048.44082980,504,2.27313000,66423.63603250,0
1682833140000,29220.01000000,29226.72000000,29220.00000000,29226.72000000,11.22878000,1682833319999,328122.68393060,525,5.99541000,175197.35317310,0
1682833320000,29226.72000000,29237.32000000,29226.71000000,29237.32000000,54.93923000,1682833499999,1605898.71155240,825,48.50472000,1417809.14134240,0
1682833500000,29237.32000000,29245.01000000,29236.99000000,29236.99000000,47.00456000,1682833679999,1374520.88447820,979,30.30390000,886146.44979570,0
1682833680000,29236.99000000,29246.86000000,29230.31000000,29246.73000000,26.39099000,1682833859999,771666.77429530,901,14.43449000,422021.12506840,0
1682833860000,29246.73000000,29246.74000000,29246.69000000,29246.70000000,9.37005000,1682834039999,274043.05032040,519,1.74925000,51159.81169900,0
1682834040000,29246.69000000,29250.00000000,29243.79000000,29247.50000000,30.52150000,1682834219999,892682.66332740,856,9.39707000,274838.53611590,0
1682834220000,29247.51000000,29265.00000000,29247.50000000,29258.49000000,53.34333000,1682834399999,1560636.32315260,1513,38.20562000,1117730.68011630,0
1682834400000,29258.49000000,29265.99000000,29253.32000000,29261.06000000,42.80417000,1682834579999,1252315.66454260,1010,29.85492000,873458.41828320,0
1682834580000,29261.06000000,29281.18000000,29261.06000000,29266.96000000,59.02942000,1682834759999,1727925.99842340,1643,28.78043000,842458.57261650,0
1682834760000,29266.95000000,29268.61000000,29255.20000000,29255.21000000,16.33328000,1682834939999,477964.32782890,881,4.82388000,141175.25874180,0
1682834940000,29255.21000000,29263.41000000,29255.20000000,29260.91000000,21.84134000,1682835119999,639090.90974640,756,14.02622000,410401.19791100,0
1682835120000,29260.91000000,29266.88000000,29259.93000000,29261.16000000,33.72954000,1682835299999,987063.02888480,827,9.88410000,289229.10549670,0
1682835300000,29261.16000000,29273.82000000,29261.16000000,29268.01000000,34.15368000,1682835479999,999644.66399430,893,13.11896000,383978.56643560,0
1682835480000,29268.02000000,29270.82000000,29267.72000000,29267.72000000,22.71736000,1682835659999,664918.67920200,714,11.18182000,327279.34918670,0
1682835660000,29267.72000000,29267.98000000,29266.85000000,29267.98000000,17.67152000,1682835839999,517195.60939520,523,14.54159000,425589.98987170,0
1682835840000,29267.98000000,29274.39000000,29255.99000000,29274.38000000,81.69667000,1682836019999,2390974.87737140,1034,33.75099000,987672.41106600,0
1682836020000,29274.39000000,29274.39000000,29240.01000000,29240.02000000,55.97549000,1682836199999,1637781.89321960,1226,6.35995000,186038.45336700,0
1682836200000,29240.02000000,29247.31000000,29239.14000000,29247.28000000,29.00374000,1682836379999,848157.05717960,706,13.70856000,400866.22521630,0
1682836380000,29247.28000000,29249.82000000,29247.01000000,29249.82000000,12.26742000,1682836559999,358807.78434980,590,5.47883000,160247.67903160,0
1682836560000,29249.81000000,29251.64000000,29244.09000000,29244.09000000,13.71133000,1682836739999,401043.87346010,667,5.43791000,159055.11527480,0
1682836740000,29244.10000000,29250.82000000,29244.09000000,29250.81000000,9.49147000,1682836919999,277594.46437530,549,6.70300000,196042.92667000,0
1682836920000,29250.82000000,29266.34000000,29250.81000000,29266.33000000,50.65855000,1682837099999,1482299.17970950,847,44.58467000,1304575.80100510,0
1682837100000,29266.33000000,29279.22000000,29263.04000000,29267.31000000,37.46530000,1682837279999,1096622.24707390,1059,19.29698000,564813.03905800,0
1682837280000,29267.31000000,29274.52000000,29267.30000000,29269.08000000,29.59627000,1682837459999,866277.28585880,763,8.12194000,237719.86074670,0
1682837460000,29269.07000000,29271.13000000,29269.07000000,29269.83000000,16.74048000,1682837639999,489994.64101860,636,9.40973000,275420.73375310,0
1682837640000,29269.84000000,29274.99000000,29269.80000000,29274.99000000,16.30029000,1682837819999,477126.21645080,600,11.17173000,327005.82190120,0
1682837820000,29274.99000000,29274.99000000,29271.38000000,29271.38000000,19.79728000,1682837999999,579528.55242040,706,3.84959000,112692.47754610,0
1682838000000,29271.39000000,29278.17000000,29271.38000000,29275.92000000,16.96316000,1682838179999,496617.51243900,947,8.57524000,251048.93900870,0
1682838180000,29275.92000000,29281.47000000,29275.92000000,29279.55000000,26.09444000,1682838359999,764038.76497830,708,11.03972000,323234.83124460,0
1682838360000,29279.55000000,29279.55000000,29264.82000000,29264.83000000,36.26985000,1682838539999,1061739.60063130,958,5.24705000,153597.00785740,0
1682838540000,29264.82000000,29278.01000000,29264.82000000,29276.73000000,27.59205000,1682838719999,807676.23300680,905,20.05439000,587007.57457520,0
1682838720000,29276.73000000,29276.73000000,29276.72000000,29276.73000000,12.33693000,1682838899999,361184.89420240,520,4.89328000,143259.23737440,0
1682838900000,29276.73000000,29295.65000000,29276.72000000,29278.55000000,50.41531000,1682839079999,1476538.00386080,1528,33.01517000,966955.67713590,0
1682839080000,29278.54000000,29290.94000000,29278.54000000,29289.62000000,38.46351000,1682839259999,1126360.06352900,936,24.91885000,729701.81401350,0
1682839260000,29289.62000000,29292.97000000,29281.64000000,29288.89000000,37.88130000,1682839439999,1109398.94834300,1015,24.05433000,704433.42729910,0
1682839440000,29288.89000000,29293.87000000,29288.88000000,29293.86000000,30.99341000,1682839619999,907811.03019580,734,18.49150000,541634.11508550,0
1682839620000,29293.87000000,29294.17000000,29284.16000000,29284.16000000,17.71177000,1682839799999,518787.35647560,847,4.69681000,137579.00809500,0
1682839800000,29284.17000000,29284.17000000,29284.16000000,29284.17000000,14.10920000,1682839979999,413176.14285010,764,7.25781000,212538.94186770,0
1682839980000,29284.16000000,29295.96000000,29275.92000000,29275.92000000,36.82393000,1682840159999,1078473.47809280,1330,12.41805000,363695.91498130,0
1682840160000,29275.93000000,29284.95000000,29275.92000000,29284.70000000,20.58297000,1682840339999,602683.31904920,794,11.07513000,324260.97648830,0
1682840340000,29284.71000000,29284.71000000,29275.92000000,29278.83000000,26.13616000,1682840519999,765241.63254740,733,6.27153000,183616.91089950,0
1682840520000,29278.83000000,29288.89000000,29278.83000000,29288.89000000,31.89240000,1682840699999,933937.30280780,878,24.36119000,713380.58936470,0
1682840700000,29288.88000000,29288.89000000,29281.80000000,29281.80000000,21.38079000,1682840879999,626169.06938600,798,4.26434000,124884.39791720,0
