Time,Index,Equity,Shares,Entry,Stoploss,Short or Long,Profit
2022-12-27 17:36:00,196,33938031.3288,-30,1816.32000,0.00000,Short,54486.3306
2022-12-29 09:00:00,197,34207663.4299,-149,1809.72000,0.00000,Short,269632.1011
2022-12-29 14:09:00,198,34334427.9236,-70,1811.03000,0.00000,Short,126764.4937
2022-12-29 14:33:00,199,34457548.8159,-68,1810.71000,0.00000,Short,123120.8923
2023-01-06 14:42:00,200,34503657.0492,-25,1844.44000,0.00000,Short,46108.2333
2023-01-17 13:51:00,201,34748567.7937,-128,1913.48000,0.00000,Short,244910.7445
2023-01-17 14:24:00,202,34859603.2912,-58,1914.52000,0.00000,Short,111035.4975
2023-01-18 13:42:00,203,34974703.3847,-60,1918.45000,0.00000,Short,115100.0936
2023-01-19 08:33:00,204,35124052.7232,-78,1914.85000,0.00000,Short,149349.3385
2023-01-23 09:00:00,205,35195189.4648,-37,1922.73000,0.00000,Short,71136.7415
2023-01-23 10:30:00,206,35403386.9322,-108,1927.87000,0.00000,Short,208197.4674
2023-01-25 13:18:00,207,35568894.3211,-86,1924.62000,0.00000,Short,165507.3890
2023-01-25 13:27:00,208,35828973.7654,-135,1926.63000,0.00000,Short,260079.4443
2023-01-25 13:45:00,209,35942498.8835,-59,1924.27000,0.00000,Short,113525.1181
2023-01-25 15:12:00,210,36025701.4711,-43,1935.06000,0.00000,Short,83202.5875
2023-01-27 13:12:00,211,36348164.1321,-167,1931.03000,0.00000,Short,322462.6611
2023-01-27 14:00:00,212,36406036.0596,-30,1929.18000,0.00000,Short,57871.9275
2023-02-01 12:18:00,213,36533375.4188,-66,1929.50000,0.00000,Short,127339.3592
2023-02-10 08:36:00,214,36716578.3660,-98,1869.53000,0.00000,Short,183202.9472
2023-02-17 15:27:00,215,36832137.3720,-63,1834.38000,0.00000,Short,115559.0060
2023-02-17 16:18:00,216,36990103.0135,-86,1836.92000,0.00000,Short,157965.6415
2023-02-17 16:51:00,217,37133552.0060,-78,1839.20000,0.00000,Short,143448.9925
2023-02-21 14:42:00,218,37323330.4787,-103,1842.62000,0.00000,Short,189778.4726
2023-02-22 08:21:00,219,37556775.4911,-127,1838.26000,0.00000,Short,233445.0125
2023-02-22 11:45:00,220,38322708.4924,-417,1836.88000,0.00000,Short,765933.0013
